id,doi,title,abstract
https://openalex.org/W2580610811,10.1016/j.pecs.2017.01.001,Removal of non-CO 2 greenhouse gases by large-scale atmospheric solar photocatalysis,"Large-scale atmospheric removal of greenhouse gases (GHGs) including methane, nitrous oxide and ozone-depleting halocarbons could reduce global warming more quickly than atmospheric removal of CO2. Photocatalysis of methane oxidizes it to CO2, effectively reducing its global warming potential (GWP) by at least 90%. Nitrous oxide can be reduced to nitrogen and oxygen by photocatalysis; meanwhile halocarbons can be mineralized by red-ox photocatalytic reactions to acid halides and CO2. Photocatalysis avoids the need for capture and sequestration of these atmospheric components. Here review an unusual hybrid device combining photocatalysis with carbon-free electricity with no-intermittency based on the solar updraft chimney. Then we review experimental evidence regarding photocatalytic transformations of non-CO2 GHGs. We propose to combine TiO2-photocatalysis with solar chimney power plants (SCPPs) to cleanse the atmosphere of non-CO2 GHGs. Worldwide installation of 50,000 SCPPs, each of capacity 200 MW, would generate a cumulative 34 PWh of renewable electricity by 2050, taking into account construction time. These SCPPs equipped with photocatalyst would process 1 atmospheric volume each 14–16 years, reducing or stopping the atmospheric growth rate of the non-CO2 GHGs and progressively reducing their atmospheric concentrations. Removal of methane, as compared to other GHGs, has enhanced efficacy in reducing radiative forcing because it liberates more °OH radicals to accelerate the cleaning of the troposphere. The overall reduction in non-CO2 GHG concentration would help to limit global temperature rise. By physically linking greenhouse gas removal to renewable electricity generation, the hybrid concept would avoid the moral hazard associated with most other climate engineering proposals."
https://openalex.org/W3135363103,10.21203/rs.3.rs-265347/v1,Heterogeneous Droplet Catalyst for Selective Oxidation of Methane,"Abstract Solid catalysts play vital roles as heterogeneous catalysts in numerous applications in the chemical, petrochemical, pharmaceutical, energy, food and automobile industries, facilitating large-scale production and facile product separation. However, conventional heterogeneous catalysts possess three major shortcomings that hinder their wide-spread application, including i) inferior catalytic activity and selectivity caused by a diversity of active sites, ii) tendency towards deactivation caused by agglomeration of catalyst particles, and iii) undesired carbon deposition in transformation of hydrocarbons. 1-4 In this research, we present a new kind of heterogeneous catalyst that consists of a liquid metal with dissolved catalytically active metal atoms, denoted as a heterogeneous droplet catalyst (HDC). Taking galinstan as the liquid metal with Cu as catalytically active metal solute (denoted as Cu-HDC) as an example, we demonstrate that the dissolved Cu atoms promote selective oxidation of methane into primary oxygenates at room temperature with a superb activity of 1940 mmol·gCu-1·h-1 and a selectivity of over 90%, outperforming state-of-the-art industrial catalysts. The liquid metal solvent ensures a high, entropically driven dispersion of the Cu atoms and prevents carbon deposition. The highly promising Cu-HDC catalyst shows a stable operation over 240 hours. By employing in-situ X-ray absorption spectroscopy (XAS), near ambient-pressure X-ray photoelectron spectroscopy (NAP-XPS) and density functional theory (DFT), we show that the narrow d-orbital of the dissolved Cu atoms in HDC facilitates formation of adsorbed methyl radicals *CH3 and impedes their transformation into *CH2 (where the * notation is used to denote an adsorption site) 5,6. These features enhance the selectivity towards primary oxygenates and prevent over-oxidization and formation of C2+ products. As the phase of the HDC is different from those of gas, aqueous and organic solution phases its separation is as facile as that of solid catalysts. Unlike conventional supported catalysts that are designed with well-defined crystal structures, crystal facets and defects, HDCs are characterized by weak interactions between the liquid metal support and the active metal solute, by having mobile surfaces and by dynamic catalytically active centers. These unprecedented features endow HDCs unique adsorption behavior and adaptive activation of molecules. For this reason, HDCs have the potential to become a major category of catalysts in the field of heterogeneous catalysis."
https://openalex.org/W2807397602,10.1016/j.jcat.2018.05.017,Aerobic oxidation of alkanes on icosahedron gold nanoparticle Au55,
https://openalex.org/W4281493737,10.1038/s41467-022-30434-0,Synergy of Pd atoms and oxygen vacancies on In2O3 for methane conversion under visible light,"Methane (CH4) oxidation to high value chemicals under mild conditions through photocatalysis is a sustainable and appealing pathway, nevertheless confronting the critical issues regarding both conversion and selectivity. Herein, under visible irradiation (420 nm), the synergy of palladium (Pd) atom cocatalyst and oxygen vacancies (OVs) on In2O3 nanorods enables superior photocatalytic CH4 activation by O2. The optimized catalyst reaches ca. 100 μmol h-1 of C1 oxygenates, with a selectivity of primary products (CH3OH and CH3OOH) up to 82.5%. Mechanism investigation elucidates that such superior photocatalysis is induced by the dedicated function of Pd single atoms and oxygen vacancies on boosting hole and electron transfer, respectively. O2 is proven to be the only oxygen source for CH3OH production, while H2O acts as the promoter for efficient CH4 activation through ·OH production and facilitates product desorption as indicated by DFT modeling. This work thus provides new understandings on simultaneous regulation of both activity and selectivity by the synergy of single atom cocatalysts and oxygen vacancies."
https://openalex.org/W2560527708,10.1016/j.fuel.2016.11.106,Catalytic consequences of cation and anion substitutions on rate and mechanism of oxidative coupling of methane over hydroxyapatite catalysts,
https://openalex.org/W2112603883,10.1016/j.carbon.2011.03.030,Characterisation of carbon blacks produced by solar thermal dissociation of methane,
https://openalex.org/W4292313601,10.1002/chem.202201984,Solar Driven Gas Phase Advanced Oxidation Processes for Methane Removal ‐ Challenges and Perspectives,"Abstract Methane (CH 4 ) is a potent greenhouse gas and the second highest contributor to global warming. CH 4 emissions are still growing at an alarmingly high pace. To limit global warming to 1.5 °C, one of the most effective strategies is to reduce rapidly the CH 4 emissions by developing large‐scale methane removal methods. The purpose of this perspective paper is threefold. (1) To highlight the technology gap dealing with low concentration CH 4 (at many emission sources and in the atmosphere). (2) To analyze the challenges and prospects of solar‐driven gas phase advanced oxidation processes for CH 4 removal. And (3) to propose some ideas, which may help to develop solar‐driven gas phase advanced oxidation processes and make them deployable at a climate significant scale."
https://openalex.org/W4297499629,10.1016/j.aeaoa.2022.100190,Exploring the photocatalytic total oxidation of methane through the lens of a prospective LCA,
https://openalex.org/W3207149952,10.3389/fchem.2021.745347,Feasibility of Solar Updraft Towers as Photocatalytic Reactors for Removal of Atmospheric Methane–The Role of Catalysts and Rate Limiting Steps,"Due to the alarming speed of global warming, greenhouse gas removal from atmosphere will be absolutely necessary in the coming decades. Methane is the second most harmful greenhouse gas in the atmosphere. There is an emerging technology proposed to incorporating photocatalysis with solar updraft Towers (SUT) to remove methane from the air at a planetary scale. In this study, we present a deep analysis by calculating the potential of methane removal in relation to the dimensions and configuration of SUT using different photocatalysts. The analysis shows that the methane removal rate increases with the SUT dimensions and can be enhanced by changing the configuration design. More importantly, the low methane removal rate on conventional TiO 2 photocatalyst can be significantly improved to, for example, 42.5% on a more effective Ag-doped ZnO photocatalyst in a 200 MW SUT while the photocatalytic reaction is the rate limiting step. The factors that may further affect the removal of methane, such as more efficient photocatalysts, night operation and reaction zone are discussed as possible solutions to further improve the system."
https://openalex.org/W3214574435,10.1088/1742-6596/2076/1/012041,The effect of interfacial engineering on the deactivation resistance of nickel-based catalysts for dry reforming of methane,"Abstract Methane dry reforming reaction (DRM) can convert CO 2 and CH 4 , two kinds of greenhouse gases with very stable chemical properties, to produce syngas, which can be used to synthesize valuable industrial products. Nickel-based catalysts have been widely used in DRM because of their low cost and good catalytic activity. However, nickel application is limited by such as high-temperature metal sintering, carbon deposition and catalyst poisoning, which restricts the industrial application in DRM reaction. Compared with single metal nickel, the selective doping of multi metals and supports shows higher catalytic activity and anti poisoning tolerance due to changing the chemical and structural properties of the catalyst by enhancing the alloy effect and the force between metal and support. This paper mainly reviews the catalysts with anti-coking, anti-sintering and anti-sulfur poisoning by tuning the metal-metal interaction and metal-support interaction (MSI) in DRM. The modification strategies in interfacial engineering and structure-performance relationship are discussed, and the existing difficulties and future development of Ni-based catalysts are proposed."
